"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.202386198E0,4.120859802E-1,5.436583042E0,7.031208038E0
6.219052136E0,-7.921010256E-2,5.258437634E0,7.085405827E0
6.235718073E0,5.783890486E-1,5.287747860E0,6.923365116E0
6.252384011E0,1.668820381E0,5.434204578E0,6.969000340E0
6.269049948E0,2.114645243E0,5.630874634E0,6.598516464E0
6.285715886E0,2.542599678E0,5.537689686E0,6.506731510E0
6.302381823E0,2.906303406E0,5.089333057E0,6.798993587E0
6.319047761E0,2.742445230E0,4.916666031E0,6.949649811E0
6.335713698E0,2.068564177E0,5.128354549E0,6.664205551E0
6.352379636E0,1.097200513E0,5.474395275E0,6.561511993E0
6.369045573E0,7.747686505E-1,5.784416199E0,6.763180256E0
6.385711511E0,9.989288449E-1,6.630638123E0,7.132392406E0
6.402377448E0,2.238901615E0,8.639006615E0,9.032765388E0
6.419043386E0,3.777415037E0,9.899214745E0,1.023587799E1
6.435709323E0,4.683453083E0,9.278512001E0,9.011901855E0
6.452375261E0,4.057727337E0,8.746731758E0,6.913410187E0
6.469041198E0,2.054001808E0,8.304026604E0,6.927755356E0
6.485707136E0,1.476698875E0,7.696040630E0,5.842603683E0
6.502373073E0,1.817507148E0,7.406577587E0,5.023124695E0
6.519039011E0,1.519256711E0,7.784689426E0,5.304193497E0
6.535704948E0,1.161773682E0,9.134342194E0,4.913606644E0
6.552370886E0,7.150390148E-1,1.046002960E1,4.300771236E0
6.569036823E0,6.484323144E-1,1.088065052E1,4.497400761E0
6.585702761E0,8.510125279E-1,1.064996433E1,4.692531109E0
6.602368698E0,1.253408074E0,9.933598518E0,4.028442383E0
6.619034636E0,1.977568626E0,9.650856972E0,2.985858917E0
6.635700573E0,2.312255859E0,9.880634308E0,2.295483351E0
6.652366511E0,1.805450439E0,1.005905247E1,2.723840714E0
6.669032448E0,8.897407055E-1,9.997574806E0,3.454963923E0
6.685698386E0,3.083556592E-1,9.781101227E0,3.758229971E0
6.702364323E0,3.532468379E-1,9.583874702E0,3.545790672E0
6.719030261E0,1.110959649E0,9.568524361E0,2.807660341E0
