"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.613784780E0,1.802102327E0,9.585752487E-1,1.062770367E0
5.630451446E0,1.781336784E0,1.817698479E0,2.925163507E-2
5.647118112E0,9.787408113E-1,3.238288879E0,-1.690543294E-1
5.663784778E0,3.122066259E-1,4.277376175E0,3.574466705E-2
5.680451444E0,4.686559439E-1,3.910773277E0,6.647552252E-1
5.697118110E0,6.276112795E-1,2.377105713E0,6.337444782E-1
5.713784776E0,6.826502085E-1,1.105374336E0,-5.811691284E-1
5.730451442E0,-5.033785105E-1,6.295938492E-1,-1.180926323E0
5.747118108E0,-1.505424619E0,5.858955383E-1,3.625967503E-1
5.763784774E0,-3.079537392E0,8.805589676E-1,1.237158775E0
5.780451440E0,-3.683468103E0,1.287368774E0,2.388687134E-1
5.797118106E0,-2.428663731E0,1.435230255E0,-1.397413969E0
5.813784772E0,-9.646940231E-1,1.177698135E0,-1.459377050E0
5.830451438E0,-5.887404084E-1,1.562591553E0,-1.895531178E0
5.847118104E0,-8.648844957E-1,2.243067741E0,-2.954721928E0
5.863784770E0,-5.401892662E-1,1.874455452E0,-4.272613049E0
5.880451436E0,-8.472567201E-1,1.447684288E0,-4.316102982E0
5.897118102E0,-1.042029142E0,6.938018799E-1,-3.356330872E0
5.913784768E0,-1.757997274E-1,-3.738784790E-2,-1.315588951E-1
5.930451434E0,6.573940516E-1,-9.196906090E-1,5.310666561E0
5.947118100E0,-1.584252477E0,-1.024897575E0,4.113662720E0
5.963784766E0,-3.457886696E0,-4.902982712E-1,-1.991333485E0
5.980451432E0,-2.917376995E0,-4.481444359E-1,-4.000415325E0
5.997118098E0,-1.662065744E0,9.176397324E-2,-4.014712334E0
6.013784764E0,-1.216773987E0,6.950292587E-1,-2.523726225E0
6.030451430E0,-9.526771307E-1,1.356967926E0,-1.554832458E-1
6.047118096E0,-8.605822921E-1,1.151187897E0,3.177504539E-1
6.063784762E0,-1.169705153E0,2.372574806E-1,7.442855835E-2
6.080451428E0,-1.141373396E0,-2.088894844E-1,-4.039521217E-1
6.097118094E0,-7.655823231E-1,-4.286837578E-1,-1.691595554E0
6.113784760E0,-7.116736174E-1,-5.240616798E-1,-2.130065441E0
6.130451426E0,-6.918441057E-1,-4.124836922E-1,-1.998006344E0
6.147118092E0,-3.947941065E-1,-1.639056206E-1,-1.722831249E0
6.163784758E0,-2.667410374E-1,-1.131768227E-1,-1.134135246E0
6.180451424E0,-3.120573759E-1,-1.317815781E-1,-1.028313637E0
6.197118090E0,-1.173877120E0,-3.170666695E-1,-9.699144363E-1
6.213784756E0,-2.135588169E0,-6.910028458E-1,-4.284691811E-1
6.230451422E0,-2.199915648E0,-7.130117416E-1,-6.839261055E-1
6.247118088E0,-9.930676222E-1,-6.665983200E-1,-7.154731750E-1
6.263784754E0,-3.555330038E-1,-5.067496300E-1,-6.371536255E-1
6.280451420E0,-7.378673553E-2,-4.034233093E-1,-1.085192204E0
6.297118086E0,4.113082886E-1,-7.232575417E-1,-8.528308868E-1
6.313784752E0,5.264270306E-1,-1.288379669E0,-4.620528221E-1
6.330451418E0,2.800853252E-1,-1.349092007E0,-3.632402420E-1
6.347118084E0,-7.644033432E-1,-1.129677296E0,-6.956410408E-1
6.363784750E0,-1.450667024E0,-9.677729607E-1,-4.309606552E-1
6.380451416E0,-1.524876118E0,-7.094621658E-1,-1.253013611E-1
